순위,선수ID,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP
1,64759,서균,한화,0.00,7,0,0,0,0,-,7 1/3,7,0,6,1,1,0,0,1.77
2,63464,윤대경,한화,1.59,55,5,0,0,7,1.000,51,48,3,25,3,42,16,9,1.43
3,50705,강재민,한화,2.57,50,1,2,1,14,0.333,49,41,3,18,0,57,16,14,1.20
4,67737,김진영,한화,3.33,58,3,3,0,8,0.500,54,48,6,22,3,56,26,20,1.30
5,50706,장웅정,한화,3.52,2,0,1,0,0,0.000,7 2/3,7,0,6,0,5,3,3,1.70
6,61156,송윤준,한화,4.30,26,0,0,0,1,-,23,23,1,13,1,16,11,11,1.57
7,65764,김민우,한화,4.34,26,5,10,0,0,0.333,132 2/3,121,15,72,7,124,72,64,1.45
8,64554,문동욱,한화,4.50,19,0,1,1,1,0.000,18,12,2,17,2,9,10,9,1.61
9,67703,박상원,한화,4.66,62,1,0,1,10,1.000,58,62,8,20,4,52,35,30,1.41
10,74857,정우람,한화,4.80,50,3,5,16,0,0.375,54 1/3,58,4,12,5,53,29,29,1.29
12,77318,장시환,한화,5.02,26,4,14,0,0,0.222,132 2/3,139,15,74,8,115,81,74,1.61
13,65769,김범수,한화,5.24,24,3,6,0,0,0.333,55,55,9,42,3,55,34,32,1.76
14,68701,김진욱,한화,5.64,22,3,4,1,0,0.429,44 2/3,50,9,25,5,29,29,28,1.68
15,73738,안영명,한화,5.91,39,1,1,0,1,0.500,45 2/3,51,9,18,2,34,32,30,1.51
16,63765,김종수,한화,5.94,54,1,1,1,7,0.500,50,54,6,26,3,43,34,33,1.60
17,69748,채드벨,한화,5.96,16,2,8,0,0,0.200,77,85,10,35,5,61,54,51,1.56
18,61214,이현호,한화,6.46,16,0,2,0,0,0.000,15 1/3,18,4,10,1,15,12,11,1.83
19,79764,장민재,한화,6.75,24,2,7,0,0,0.222,57 1/3,86,5,13,2,32,44,43,1.73
20,69745,김도현,한화,6.82,17,2,7,0,0,0.222,64 2/3,75,9,44,4,41,50,49,1.84
21,73750,윤규진,한화,7.36,2,0,0,0,0,-,3 2/3,7,1,1,0,4,5,3,2.18
22,68703,박성웅,한화,8.39,11,0,5,0,0,0.000,24 2/3,30,5,16,0,19,24,23,1.86
23,67711,김기탁,한화,9.00,5,0,0,0,0,-,7,13,1,5,0,3,10,7,2.57
23,60140,신정락,한화,9.00,16,0,1,0,0,0.000,12,15,2,7,2,14,12,12,1.83
25,64760,황영국,한화,10.24,21,0,0,0,4,-,19 1/3,29,3,14,2,17,22,22,2.22
26,63961,윤호솔,한화,10.50,6,0,1,0,0,0.000,6,8,2,6,0,4,8,7,2.33
27,69703,오동욱,한화,13.50,4,0,1,0,0,0.000,10,22,3,7,2,5,19,15,2.90
27,62611,임준섭,한화,13.50,10,0,2,0,1,0.000,8 2/3,18,1,6,0,6,13,13,2.77
29,50726,한승주,한화,16.20,1,0,0,0,0,-,1 2/3,3,1,2,0,2,3,3,3.00
30,69737,노시환,한화,18.00,1,0,0,0,0,-,1,1,1,0,1,0,2,2,1.00
